,reaction,direction,source,coenzyme,equation,reactants,products,reactant_gen,product_gen,generation,ec_list
10104,R12686,forward,KEGG,,C22332 + C00001 => C22331 + C00014,C22332 + C00001,C22331 + C00014,0.0,0.0,0.0,
4158,R04259_v1,reverse,KEGG (Modified),Mn,C03585 + Z00030 => C04522 + Z00030,C03585 + Z00030,C04522 + Z00030,0.0,0.0,0.0,
4157,R04259_v1,forward,KEGG (Modified),Mn,C04522 + Z00030 => C03585 + Z00030,C04522 + Z00030,C03585 + Z00030,0.0,0.0,0.0,
4121,R04206_v1,forward,KEGG (Modified),Mg,C03356 + Z00029 => C04309 + C00001 + Z00029,C03356 + Z00029,C04309 + C00001 + Z00029,0.0,0.0,0.0,
10193,RZ_27,forward,KEGG,,C00175 => Z00006,C00175,Z00006,0.0,0.0,0.0,
4077,R04146,reverse,KEGG,,C03106 + C00033 => C04018 + C00001,C03106 + C00033,C04018 + C00001,0.0,0.0,0.0,
4122,R04206_v1,reverse,KEGG (Modified),Mg,C04309 + C00001 + Z00029 => C03356 + Z00029,C04309 + C00001 + Z00029,C03356 + Z00029,0.0,0.0,0.0,
4209,R04314_v1,forward,KEGG (Modified),Zn,C04250 + C02743 + Z00054 => C03800 + C11475 + Z00054,C04250 + C02743 + Z00054,C03800 + C11475 + Z00054,0.0,0.0,0.0,
10098,R12678,forward,KEGG,,C02941 + C00028 + C00001 => C22326 + C00030,C02941 + C00028 + C00001,C22326 + C00030,0.0,0.0,0.0,
4171,R04273_v1,forward,KEGG (Modified),Ca,C03798 + Z00055 => C03633 + Z00055,C03798 + Z00055,C03633 + Z00055,0.0,0.0,0.0,
101,R00077,forward,KEGG,,4C00001 + C02307 => 2C02308 + 4C00009,4C00001 + C02307,2C02308 + 4C00009,0.0,0.0,0.0,
10034,R12595_v1,forward,KEGG (Modified),Mn,C22235 + C00001 + Z00030 => C22274 + C00009 + Z00030,C22235 + C00001 + Z00030,C22274 + C00009 + Z00030,0.0,0.0,0.0,
10196,RZ_3,forward,KEGG,Fe,C00283 + Z00015 => Z00001,C00283 + Z00015,Z00001,0.0,0.0,0.0,
10101,R12680,reverse,KEGG,,C22326 + C00030 => C22327 + C00028,C22326 + C00030,C22327 + C00028,0.0,0.0,0.0,
10100,R12680,forward,KEGG,,C22327 + C00028 => C22326 + C00030,C22327 + C00028,C22326 + C00030,0.0,0.0,0.0,
9797,R12347,forward,KEGG,,C21591 + C00001 => C20297 + C00033,C21591 + C00001,C20297 + C00033,0.0,0.0,0.0,
4091,R04162_v1,forward,KEGG (Modified),Mn,C05977 + C00001 + Z00030 => C03201 + C00009 + Z00030,C05977 + C00001 + Z00030,C03201 + C00009 + Z00030,0.0,0.0,0.0,
4092,R04162_v2,forward,KEGG (Modified),Mg,C05977 + C00001 + Z00029 => C03201 + C00009 + Z00029,C05977 + C00001 + Z00029,C03201 + C00009 + Z00029,0.0,0.0,0.0,
9949,R12516,forward,KEGG,,C12296 + C00001 => C07328 + C00033,C12296 + C00001,C07328 + C00033,0.0,0.0,0.0,
10035,R12595_v1,reverse,KEGG (Modified),Mn,C22274 + C00009 + Z00030 => C22235 + C00001 + Z00030,C22274 + C00009 + Z00030,C22235 + C00001 + Z00030,0.0,0.0,0.0,
10036,R12595_v2,forward,KEGG (Modified),Mg,C22235 + C00001 + Z00029 => C22274 + C00009 + Z00029,C22235 + C00001 + Z00029,C22274 + C00009 + Z00029,0.0,0.0,0.0,
9950,R12516,reverse,KEGG,,C07328 + C00033 => C12296 + C00001,C07328 + C00033,C12296 + C00001,0.0,0.0,0.0,
10177,RZ_144,forward,KEGG,Fe,C00283 + Z00015 => Z00063,C00283 + Z00015,Z00063,0.0,0.0,0.0,
10154,R12748,reverse,KEGG,,C22374 + C00069 => C22373 + C00001,C22374 + C00069,C22373 + C00001,0.0,0.0,0.0,
9716,R12248_v1,forward,KEGG (Modified),Zn,C22034 + C00001 + Z00054 => C22035 + Z00054,C22034 + C00001 + Z00054,C22035 + Z00054,0.0,0.0,0.0,
9938,R12500,reverse,KEGG,,C19647 + C00030 => C01978 + C00028 + C00001,C19647 + C00030,C01978 + C00028 + C00001,0.0,0.0,0.0,
9832,R12392_v1,reverse,KEGG (Modified),Zn,C21895 + C00033 + Z00054 => C21896 + C00001 + Z00054,C21895 + C00033 + Z00054,C21896 + C00001 + Z00054,0.0,0.0,0.0,
9717,R12248_v1,reverse,KEGG (Modified),Zn,C22035 + Z00054 => C22034 + C00001 + Z00054,C22035 + Z00054,C22034 + C00001 + Z00054,0.0,0.0,0.0,
10099,R12678,reverse,KEGG,,C22326 + C00030 => C02941 + C00028 + C00001,C22326 + C00030,C02941 + C00028 + C00001,0.0,0.0,0.0,
10203,RZ_340,forward,KEGG,,C01330 => Z00033,C01330,Z00033,0.0,0.0,0.0,
9831,R12392_v1,forward,KEGG (Modified),Zn,C21896 + C00001 + Z00054 => C21895 + C00033 + Z00054,C21896 + C00001 + Z00054,C21895 + C00033 + Z00054,0.0,0.0,0.0,
10163,RZ_106,forward,KEGG,,C14818 => Z00015,C14818,Z00015,0.0,0.0,0.0,
10199,RZ_304,forward,KEGG,,C00305 => Z00029,C00305,Z00029,0.0,0.0,0.0,
10164,RZ_107,forward,KEGG,,C14819 => Z00015,C14819,Z00015,0.0,0.0,0.0,
10204,RZ_341,forward,KEGG,,C19609 => Z00034,C19609,Z00034,0.0,0.0,0.0,
4086,R04156,forward,KEGG,,C03185 + C00001 => C03186 + C00009,C03185 + C00001,C03186 + C00009,0.0,0.0,0.0,
6005,R07316,reverse,KEGG,,C00014 + C00011 => C01563,C00014 + C00011,C01563,0.0,1.0,0.5,"3.5.1.110, 4.2.1.104"
331,R00268_v3,reverse,KEGG (Modified),Zn,C00026 + C00011 + Z00054 => C05379 + Z00054,C00026 + C00011 + Z00054,C05379 + Z00054,0.0,1.0,0.5,1.1.1.42
3716,R03699,reverse,KEGG,,C00009 + C05325 => C00013 + C15586,C00009 + C05325,C00013 + C15586,0.0,1.0,0.5,
8935,R11246_v1,forward,KEGG (Modified),Mg,C21206 + C00201 + Z00029 => C21207 + C00013 + Z00029,C21206 + C00201 + Z00029,C21207 + C00013 + Z00029,0.0,1.0,0.5,
7957,R10079,reverse,KEGG,,2C00011 + C00014 => C01417 + C00288 + C00080,2C00011 + C00014,C01417 + C00288 + C00080,0.0,1.0,0.5,4.2.1.104
8929,R11237_v1,forward,KEGG (Modified),Mg,C21209 + C00201 + Z00029 => C21210 + C00013 + Z00029,C21209 + C00201 + Z00029,C21210 + C00013 + Z00029,0.0,1.0,0.5,
3149,R03016,forward,KEGG,,C03517 + C00001 => C00863 + C00013,C03517 + C00001,C00863 + C00013,0.0,1.0,0.5,
2787,R02628_v1,reverse,KEGG (Modified),Mg,C00022 + C04261 + Z00029 => C00074 + C00615 + Z00029,C00022 + C04261 + Z00029,C00074 + C00615 + Z00029,0.0,1.0,0.5,
332,R00269,reverse,KEGG,,C00026 + C00014 => C00940 + C00001,C00026 + C00014,C00940 + C00001,0.0,1.0,0.5,"3.5.1.3, 3.5.1.111"
4208,R04312,reverse,KEGG,,C00009 + C04391 => C00013 + C03788,C00009 + C04391,C00013 + C03788,0.0,1.0,0.5,
727,R00628,reverse,KEGG,,C00069 + C00033 => C01883 + C00001,C00069 + C00033,C01883 + C00001,0.0,1.0,0.5,3.1.1.6
329,R00268_v1,reverse,KEGG (Modified),Mn,C00026 + C00011 + Z00030 => C05379 + Z00030,C00026 + C00011 + Z00030,C05379 + Z00030,0.0,1.0,0.5,1.1.1.42
1505,R01324_v1,reverse,KEGG (Modified),4Fe4S,C00311 + Z00002 => C00158 + Z00002,C00311 + Z00002,C00158 + Z00002,0.0,1.0,0.5,4.2.1.3
1506,R01325_v1,reverse,KEGG (Modified),4Fe4S,C00417 + C00001 + Z00002 => C00158 + Z00002,C00417 + C00001 + Z00002,C00158 + Z00002,0.0,1.0,0.5,4.2.1.3
392,R00321,reverse,KEGG,,C00033 + C00014 => C06244 + C00001,C00033 + C00014,C06244 + C00001,0.0,1.0,0.5,3.5.1.4
39,R00008_v3,reverse,KEGG (Modified),Zn,2C00022 + Z00054 => C06033 + Z00054,2C00022 + Z00054,C06033 + Z00054,0.0,1.0,0.5,4.1.3.17
38,R00008_v2,reverse,KEGG (Modified),Mg,2C00022 + Z00029 => C06033 + Z00029,2C00022 + Z00029,C06033 + Z00029,0.0,1.0,0.5,4.1.3.17
2417,R02244,reverse,KEGG,,C00417 => C02341,C00417,C02341,0.0,1.0,0.5,5.3.3.7
37,R00008_v1,reverse,KEGG (Modified),M2,2C00022 + Z00069 => C06033 + Z00069,2C00022 + Z00069,C06033 + Z00069,0.0,1.0,0.5,4.1.3.17
2416,R02243,forward,KEGG,,C00417 => C00490 + C00011,C00417,C00490 + C00011,0.0,1.0,0.5,4.1.1.6
162,R00132_v2,reverse,KEGG (Modified),Zn,C00011 + C00001 + Z00054 => C01353 + Z00054,C00011 + C00001 + Z00054,C01353 + Z00054,0.0,1.0,0.5,4.2.1.1
1517,R01336,reverse,KEGG,,C00122 + C00160 => C03600,C00122 + C00160,C03600,0.0,1.0,0.5,4.2.99.12
6617,R08243_v1,forward,KEGG (Modified),Ni,C16617 + C00001 + Z00034 => C04646 + C00013 + Z00034,C16617 + C00001 + Z00034,C04646 + C00013 + Z00034,0.0,1.0,0.5,
6618,R08243_v2,forward,KEGG (Modified),Mn,C16617 + C00001 + Z00030 => C04646 + C00013 + Z00030,C16617 + C00001 + Z00030,C04646 + C00013 + Z00030,0.0,1.0,0.5,
6619,R08243_v3,forward,KEGG (Modified),Mg,C16617 + C00001 + Z00029 => C04646 + C00013 + Z00029,C16617 + C00001 + Z00029,C04646 + C00013 + Z00029,0.0,1.0,0.5,
4111,R04191,forward,KEGG,,C03317 + C00001 => C05167 + C00069,C03317 + C00001,C05167 + C00069,0.0,1.0,0.5,
6620,R08243_v4,forward,KEGG (Modified),M2,C16617 + C00001 + Z00069 => C04646 + C00013 + Z00069,C16617 + C00001 + Z00069,C04646 + C00013 + Z00069,0.0,1.0,0.5,
284,R00224,forward,KEGG,,C00022 => C00084 + C00011,C00022,C00084 + C00011,0.0,1.0,0.5,4.1.1.1
161,R00132_v1,reverse,KEGG (Modified),Co,C00011 + C00001 + Z00006 => C01353 + Z00006,C00011 + C00001 + Z00006,C01353 + Z00006,0.0,1.0,0.5,4.2.1.1
10194,RZ_273,forward,KEGG,,C00238 => Z00026,C00238,Z00026,0.0,1.0,0.5,
10221,RZ_424,forward,KEGG,,C01528 => Z00043,C01528,Z00043,0.0,1.0,0.5,
10220,RZ_423,forward,KEGG,,C01528 => Z00042,C01528,Z00042,0.0,1.0,0.5,
10212,RZ_388,forward,KEGG,,C00022 => Z00039,C00022,Z00039,0.0,1.0,0.5,
8600,R10816,forward,KEGG,,C20864 + C00001 => C20863 + C00013,C20864 + C00001,C20863 + C00013,0.0,1.0,0.5,
8152,R10283_v1,reverse,KEGG (Modified),Mg,C00022 + C00048 + Z00029 => C20485 + Z00029,C00022 + C00048 + Z00029,C20485 + Z00029,0.0,1.0,0.5,"4.1.3.16, 4.1.3.42"
330,R00268_v2,reverse,KEGG (Modified),Mg,C00026 + C00011 + Z00029 => C05379 + Z00029,C00026 + C00011 + Z00029,C05379 + Z00029,0.0,1.0,0.5,1.1.1.42
1254,R01087,reverse,KEGG,,C00122 => C01384,C00122,C01384,0.0,1.0,0.5,5.2.1.1
35,R00004_v2,reverse,KEGG (Modified),Mg,2C00009 + Z00029 => C00013 + C00001 + Z00029,2C00009 + Z00029,C00013 + C00001 + Z00029,0.0,1.0,0.5,3.6.1.1
2595,R02432_v1,forward,KEGG (Modified),Mg,C00201 + C00505 + Z00029 => C00013 + C03565 + Z00029,C00201 + C00505 + Z00029,C00013 + C03565 + Z00029,0.0,1.0,0.5,
2489,R02320_v1,forward,KEGG (Modified),M2,C00201 + C00022 + Z00069 => C00454 + C00074 + Z00069,C00201 + C00022 + Z00069,C00454 + C00074 + Z00069,0.0,1.0,0.5,
9201,R11617,reverse,KEGG,,C00209 + C00014 => C01444 + C00001,C00209 + C00014,C01444 + C00001,0.0,1.0,0.5,3.5.1.126
281,R00218,reverse,KEGG,,C00022 + C00011 => C03248 + C00001,C00022 + C00011,C03248 + C00001,0.0,1.0,0.5,4.1.1.78
282,R00219,forward,KEGG,,C00022 + C00011 => C03981,C00022 + C00011,C03981,0.0,1.0,0.5,4.1.1.-
34,R00004_v1,reverse,KEGG (Modified),Mn,2C00009 + Z00030 => C00013 + C00001 + Z00030,2C00009 + Z00030,C00013 + C00001 + Z00030,0.0,1.0,0.5,3.6.1.1
595,R00490,reverse,KEGG,,C00122 + C00014 => C00049,C00122 + C00014,C00049,0.0,1.0,0.5,4.3.1.1
444,R00350_v1,reverse,KEGG (Modified),M2,C00036 + C00022 + Z00069 => C04115 + Z00069,C00036 + C00022 + Z00069,C04115 + Z00069,0.0,1.0,0.5,4.1.3.17
565,R00471_v1,reverse,KEGG (Modified),Mg,C00022 + C00048 + Z00029 => C05946 + Z00029,C00022 + C00048 + Z00029,C05946 + Z00029,0.0,1.0,0.5,4.1.3.16
9464,R11896_v1,forward,KEGG (Modified),Mg,C21751 + C00001 + Z00029 => C04242 + C00013 + Z00029,C21751 + C00001 + Z00029,C04242 + C00013 + Z00029,0.0,1.0,0.5,
6898,R08698,reverse,KEGG,,C00022 + C00014 => C02218 + C00001,C00022 + C00014,C02218 + C00001,0.0,1.0,0.5,
439,R00347_v1,reverse,KEGG (Modified),Mn,C00036 + C00014 + Z00030 => C03961 + Z00030,C00036 + C00014 + Z00030,C03961 + Z00030,0.0,1.0,0.5,4.3.1.20
443,R00348,reverse,KEGG,,C00036 + C00014 => C02362 + C00001,C00036 + C00014,C02362 + C00001,0.0,1.0,0.5,3.5.1.3
2017,R01854,reverse,KEGG,,C00071 + C00014 + C00030 => C00375 + C00001 + C00028,C00071 + C00014 + C00030,C00375 + C00001 + C00028,0.0,1.0,0.5,
7581,R09683_v3,reverse,KEGG (Modified),Mn,C00036 + C00014 + Z00030 => C19813 + Z00030,C00036 + C00014 + Z00030,C19813 + Z00030,0.0,1.0,0.5,4.3.1.27
9671,R12185,forward,KEGG,,C00014 + C00288 => C01563 + C00001,C00014 + C00288,C01563 + C00001,0.0,1.0,0.5,"2.7.2.2, 3.5.1.5"
433,R00345_v1,forward,KEGG (Modified),Mn,C00009 + C00036 + Z00030 => C00001 + C00074 + C00011 + Z00030,C00009 + C00036 + Z00030,C00001 + C00074 + C00011 + Z00030,0.0,1.0,0.5,4.1.1.31
573,R00477,reverse,KEGG,,C00036 + C00048 => C01990,C00036 + C00048,C01990,0.0,1.0,0.5,4.1.3.13
7582,R09683_v4,reverse,KEGG (Modified),M2,C00036 + C00014 + Z00069 => C19813 + Z00069,C00036 + C00014 + Z00069,C19813 + Z00069,0.0,1.0,0.5,4.3.1.27
7730,R09832_v1,forward,KEGG (Modified),Mn,C19967 + C00001 + Z00030 => C19968 + C00013 + Z00030,C19967 + C00001 + Z00030,C19968 + C00013 + Z00030,0.0,1.0,0.5,
434,R00345_v2,forward,KEGG (Modified),Mg,C00009 + C00036 + Z00029 => C00001 + C00074 + C00011 + Z00029,C00009 + C00036 + Z00029,C00001 + C00074 + C00011 + Z00029,0.0,1.0,0.5,4.1.1.31
1710,R01532_v1,forward,KEGG (Modified),Mn,C00201 + C00001 + Z00030 => C00215 + C00013 + Z00030,C00201 + C00001 + Z00030,C00215 + C00013 + Z00030,0.0,1.0,0.5,
7732,R09833,forward,KEGG,,C19969 + C00001 => C19970 + C00013,C19969 + C00001,C19970 + C00013,0.0,1.0,0.5,
5366,R06131_v3,reverse,KEGG (Modified),Mg,C00161 + C00014 + Z00029 => C05167 + Z00029,C00161 + C00014 + Z00029,C05167 + Z00029,0.0,1.0,0.5,"4.3.1.17, 4.3.1.18, 4.3.1.19, 4.3.1.20"
1711,R01532_v2,forward,KEGG (Modified),Mg,C00201 + C00001 + Z00029 => C00215 + C00013 + Z00029,C00201 + C00001 + Z00029,C00215 + C00013 + Z00029,0.0,1.0,0.5,
5367,R06131_v4,reverse,KEGG (Modified),M2,C00161 + C00014 + Z00069 => C05167 + Z00069,C00161 + C00014 + Z00069,C05167 + Z00069,0.0,1.0,0.5,"4.3.1.17, 4.3.1.18, 4.3.1.19, 4.3.1.20"
419,R00339_v1,reverse,KEGG (Modified),"Fe, Generic FeS",C00036 + C00001 + Z00063 + Z00015 => C00898 + Z00063 + Z00015,C00036 + C00001 + Z00063 + Z00015,C00898 + Z00063 + Z00015,0.0,1.0,0.5,4.2.1.32
420,R00340_v1,reverse,KEGG (Modified),Fe,C00036 + C00001 + Z00015 => C02107 + Z00015,C00036 + C00001 + Z00015,C02107 + Z00015,0.0,1.0,0.5,4.2.1.81
421,R00340_v2,reverse,KEGG (Modified),Mn,C00036 + C00001 + Z00030 => C02107 + Z00030,C00036 + C00001 + Z00030,C02107 + Z00030,0.0,1.0,0.5,4.2.1.81
422,R00340_v3,reverse,KEGG (Modified),Mg,C00036 + C00001 + Z00029 => C02107 + Z00029,C00036 + C00001 + Z00029,C02107 + Z00029,0.0,1.0,0.5,4.2.1.81
1712,R01532_v3,forward,KEGG (Modified),M2,C00201 + C00001 + Z00069 => C00215 + C00013 + Z00069,C00201 + C00001 + Z00069,C00215 + C00013 + Z00069,0.0,1.0,0.5,
3711,R03693,reverse,KEGG,,C01732 + C00001 => C02614,C01732 + C00001,C02614,0.0,1.0,0.5,4.2.1.34
3712,R03694,forward,KEGG,,C01732 + C00001 => C06029,C01732 + C00001,C06029,0.0,1.0,0.5,
7731,R09832_v2,forward,KEGG (Modified),Mg,C19967 + C00001 + Z00029 => C19968 + C00013 + Z00029,C19967 + C00001 + Z00029,C19968 + C00013 + Z00029,0.0,1.0,0.5,
440,R00347_v2,reverse,KEGG (Modified),Ca,C00036 + C00014 + Z00055 => C03961 + Z00055,C00036 + C00014 + Z00055,C03961 + Z00055,0.0,1.0,0.5,4.3.1.20
3640,R03597,forward,KEGG,,3C00028 + 3C00001 + C01528 => 3C00030 + 2C00080 + C05684,3C00028 + 3C00001 + C01528,3C00030 + 2C00080 + C05684,0.0,1.0,0.5,1.8.99.-
458,R00363,forward,KEGG,,C00036 => C03981,C00036,C03981,0.0,1.0,0.5,5.3.2.2
445,R00350_v2,reverse,KEGG (Modified),Mg,C00036 + C00022 + Z00029 => C04115 + Z00029,C00036 + C00022 + Z00029,C04115 + Z00029,0.0,1.0,0.5,4.1.3.17
446,R00350_v3,reverse,KEGG (Modified),Zn,C00036 + C00022 + Z00054 => C04115 + Z00054,C00036 + C00022 + Z00054,C04115 + Z00054,0.0,1.0,0.5,4.1.3.17
3593,R03541,forward,KEGG,,C17627 + C00001 => C17628 + C00013,C17627 + C00001,C17628 + C00013,0.0,1.0,0.5,
4763,R05077,reverse,KEGG,,C06034 + C00001 => C06033 + C00014,C06034 + C00001,C06033 + C00014,0.0,1.0,0.5,
3584,R03531_v4,forward,KEGG (Modified),M2,C01345 + C00001 + Z00069 => C06196 + C00013 + Z00069,C01345 + C00001 + Z00069,C06196 + C00013 + Z00069,0.0,1.0,0.5,
3583,R03531_v3,forward,KEGG (Modified),Mg,C01345 + C00001 + Z00029 => C06196 + C00013 + Z00029,C01345 + C00001 + Z00029,C06196 + C00013 + Z00029,0.0,1.0,0.5,
7579,R09683_v1,reverse,KEGG (Modified),Co,C00036 + C00014 + Z00006 => C19813 + Z00006,C00036 + C00014 + Z00006,C19813 + Z00006,0.0,1.0,0.5,4.3.1.27
3582,R03531_v2,forward,KEGG (Modified),Mn,C01345 + C00001 + Z00030 => C06196 + C00013 + Z00030,C01345 + C00001 + Z00030,C06196 + C00013 + Z00030,0.0,1.0,0.5,
442,R00347_v4,reverse,KEGG (Modified),M2,C00036 + C00014 + Z00069 => C03961 + Z00069,C00036 + C00014 + Z00069,C03961 + Z00069,0.0,1.0,0.5,4.3.1.20
441,R00347_v3,reverse,KEGG (Modified),Mg,C00036 + C00014 + Z00029 => C03961 + Z00029,C00036 + C00014 + Z00029,C03961 + Z00029,0.0,1.0,0.5,4.3.1.20
539,R00444_v1,forward,KEGG (Modified),"Fe, Zn",C00201 + C00046 + Z00015 + C00201 + C00046 + Z00054 => C00013 + C00046 + Z00015 + C00013 + C00046 + Z00054,C00201 + C00046 + Z00015 + C00201 + C00046 + Z00054,C00013 + C00046 + Z00015 + C00013 + C00046 + Z00054,0.0,1.0,0.5,
3581,R03531_v1,forward,KEGG (Modified),Ni,C01345 + C00001 + Z00034 => C06196 + C00013 + Z00034,C01345 + C00001 + Z00034,C06196 + C00013 + Z00034,0.0,1.0,0.5,
7580,R09683_v2,reverse,KEGG (Modified),Ni,C00036 + C00014 + Z00034 => C19813 + Z00034,C00036 + C00014 + Z00034,C19813 + Z00034,0.0,1.0,0.5,4.3.1.27
540,R00444_v2,forward,KEGG (Modified),"4Fe4S, Mn",C00201 + C00046 + Z00030 + C00201 + C00046 + Z00002 => C00013 + C00046 + Z00030 + C00013 + C00046 + Z00002,C00201 + C00046 + Z00030 + C00201 + C00046 + Z00002,C00013 + C00046 + Z00030 + C00013 + C00046 + Z00002,0.0,1.0,0.5,
541,R00444_v3,forward,KEGG (Modified),"Mg, M2",C00201 + C00046 + Z00029 + C00201 + C00046 + Z00069 => C00013 + C00046 + Z00029 + C00013 + C00046 + Z00069,C00201 + C00046 + Z00029 + C00201 + C00046 + Z00069,C00013 + C00046 + Z00029 + C00013 + C00046 + Z00069,0.0,1.0,0.5,
543,R00444_v5,forward,KEGG (Modified),Mg,C00201 + C00046 + Z00029 => C00013 + C00046 + Z00029,C00201 + C00046 + Z00029,C00013 + C00046 + Z00029,0.0,1.0,0.5,
542,R00444_v4,forward,KEGG (Modified),Mn,C00201 + C00046 + Z00030 => C00013 + C00046 + Z00030,C00201 + C00046 + Z00030,C00013 + C00046 + Z00030,0.0,1.0,0.5,
3598,R03546,forward,KEGG,,C01417 + C00080 + C00288 => C00011 + C01563,C01417 + C00080 + C00288,C00011 + C01563,1.0,1.0,1.0,4.2.1.104
528,R00430_gGTP_v2,reverse,KEGG (Modified),"K, Mg",C00074 + C00009 + Z00026 + Z00029 => C00022 + C00013 + Z00026 + Z00029,C00074 + C00009 + Z00026 + Z00029,C00022 + C00013 + Z00026 + Z00029,1.0,1.0,1.0,2.7.1.40
3600,R03546,reverse,KEGG,,C00011 + C01563 => C01417 + C00080 + C00288,C00011 + C01563,C01417 + C00080 + C00288,1.0,1.0,1.0,4.2.1.104
524,R00430_gGTP_v1,reverse,KEGG (Modified),M2,C00074 + C00009 + Z00069 => C00022 + C00013 + Z00069,C00074 + C00009 + Z00069,C00022 + C00013 + Z00069,1.0,1.0,1.0,2.7.1.40
523,R00430_gGTP_v1,reverse,KEGG (Modified),M2,C00074 + C00009 + Z00069 => C00022 + C00013 + Z00069,C00074 + C00009 + Z00069,C00022 + C00013 + Z00069,1.0,1.0,1.0,2.7.1.40
3597,R03546,forward,KEGG,,C01417 + C00080 + C00288 => C00011 + C01563,C01417 + C00080 + C00288,C00011 + C01563,1.0,1.0,1.0,4.2.1.104
10211,RZ_383,forward,KEGG,,C00074 => Z00039,C00074,Z00039,1.0,1.0,1.0,
10213,RZ_394,forward,KEGG,,C06033 => Z00039,C06033,Z00039,1.0,1.0,1.0,
521,R00430_gGTP_v1,forward,KEGG (Modified),M2,C00022 + C00013 + Z00069 => C00074 + C00009 + Z00069,C00022 + C00013 + Z00069,C00074 + C00009 + Z00069,1.0,1.0,1.0,2.7.1.40
4971,R05371,forward,KEGG,,C06614 + C00001 => C01327 + C00222,C06614 + C00001,C01327 + C00222,0.0,2.0,1.0,
4972,R05372,forward,KEGG,,C06615 + C00001 => C01327 + C00222,C06615 + C00001,C01327 + C00222,0.0,2.0,1.0,
4748,R05055,forward,KEGG,,C05951 + C00001 => C05952 + C00037,C05951 + C00001,C05952 + C00037,0.0,2.0,1.0,
522,R00430_gGTP_v1,forward,KEGG (Modified),M2,C00022 + C00013 + Z00069 => C00074 + C00009 + Z00069,C00022 + C00013 + Z00069,C00074 + C00009 + Z00069,1.0,1.0,1.0,2.7.1.40
3599,R03546,reverse,KEGG,,C00011 + C01563 => C01417 + C00080 + C00288,C00011 + C01563,C01417 + C00080 + C00288,1.0,1.0,1.0,4.2.1.104
527,R00430_gGTP_v2,reverse,KEGG (Modified),"K, Mg",C00074 + C00009 + Z00026 + Z00029 => C00022 + C00013 + Z00026 + Z00029,C00074 + C00009 + Z00026 + Z00029,C00022 + C00013 + Z00026 + Z00029,1.0,1.0,1.0,2.7.1.40
9321,R11749,forward,KEGG,,C02341 => C00490 + C00011,C02341,C00490 + C00011,1.0,1.0,1.0,4.1.1.113
597,R00493,forward,KEGG,,C00049 + C00161 => C05167 + C00036,C00049 + C00161,C05167 + C00036,1.0,1.0,1.0,2.6.1.-
4103,R04177,forward,KEGG,,C03981 => C03248 + C00001,C03981,C03248 + C00001,1.0,1.0,1.0,4.1.1.78
3928,R03975,forward,KEGG,,C05466 + C00001 => C02528 + C00037,C05466 + C00001,C02528 + C00037,0.0,2.0,1.0,
247,R00200_gATP_v1,forward,KEGG (Modified),M2,C00022 + C00013 + Z00069 => C00074 + C00009 + Z00069,C00022 + C00013 + Z00069,C00074 + C00009 + Z00069,1.0,1.0,1.0,2.7.1.40
4357,R04486,forward,KEGG,,C05464 + C00001 => C04483 + C00037,C05464 + C00001,C04483 + C00037,0.0,2.0,1.0,
254,R00200_gATP_v2,reverse,KEGG (Modified),"K, Mg",C00074 + C00009 + Z00026 + Z00029 => C00022 + C00013 + Z00026 + Z00029,C00074 + C00009 + Z00026 + Z00029,C00022 + C00013 + Z00026 + Z00029,1.0,1.0,1.0,2.7.1.40
436,R00346,forward,KEGG,,C00013 + C00036 => C00009 + C00074 + C00011,C00013 + C00036,C00009 + C00074 + C00011,1.0,1.0,1.0,4.1.1.38
3964,R04015_v2,forward,KEGG (Modified),"Ni, Se, Generic FeS",2C02682 + C00282 + Z00034 + Z00042 + Z00063 => 2C02684 + 2C00080 + Z00034 + Z00042 + Z00063,2C02682 + C00282 + Z00034 + Z00042 + Z00063,2C02684 + 2C00080 + Z00034 + Z00042 + Z00063,1.0,1.0,1.0,
3965,R04015_v2,reverse,KEGG (Modified),"Ni, Se, Generic FeS",2C02684 + 2C00080 + Z00034 + Z00042 + Z00063 => 2C02682 + C00282 + Z00034 + Z00042 + Z00063,2C02684 + 2C00080 + Z00034 + Z00042 + Z00063,2C02682 + C00282 + Z00034 + Z00042 + Z00063,1.0,1.0,1.0,
437,R00346,reverse,KEGG,,C00009 + C00074 + C00011 => C00013 + C00036,C00009 + C00074 + C00011,C00013 + C00036,1.0,1.0,1.0,4.1.1.38
253,R00200_gATP_v2,reverse,KEGG (Modified),"K, Mg",C00074 + C00009 + Z00026 + Z00029 => C00022 + C00013 + Z00026 + Z00029,C00074 + C00009 + Z00026 + Z00029,C00022 + C00013 + Z00026 + Z00029,1.0,1.0,1.0,2.7.1.40
438,R00346,reverse,KEGG,,C00009 + C00074 + C00011 => C00013 + C00036,C00009 + C00074 + C00011,C00013 + C00036,1.0,1.0,1.0,4.1.1.38
9320,R11749,forward,KEGG,,C02341 => C00490 + C00011,C02341,C00490 + C00011,1.0,1.0,1.0,4.1.1.113
251,R00200_gATP_v2,forward,KEGG (Modified),"K, Mg",C00022 + C00013 + Z00026 + Z00029 => C00074 + C00009 + Z00026 + Z00029,C00022 + C00013 + Z00026 + Z00029,C00074 + C00009 + Z00026 + Z00029,1.0,1.0,1.0,2.7.1.40
