,reaction,direction,source,coenzyme,equation,reactants,products,reactant_gen,product_gen,generation,ec_list
9843,R12404,reverse,KEGG,,C22136 + C00005 + C00080 + C00011 => C22112 + C00006,C22136 + C00005 + C00080 + C00011,C22112 + C00006,68.0,69.0,68.5,
2996,R02859_v1,forward,KEGG (Modified),Mg,C00019 + C02400 + Z00029 => C00021 + C00744 + Z00029,C00019 + C02400 + Z00029,C00021 + C00744 + Z00029,68.0,69.0,68.5,
5048,R05520,forward,KEGG,,C00019 + C06616 => C00021 + C01912,C00019 + C06616,C00021 + C01912,68.0,69.0,68.5,
5049,R05521_v1,forward,KEGG (Modified),Heme,C06653 + C00005 + C00080 + C00007 + Z00025 => C01912 + C00006 + C00001 + Z00025,C06653 + C00005 + C00080 + C00007 + Z00025,C01912 + C00006 + C00001 + Z00025,68.0,69.0,68.5,
9126,R11533,forward,KEGG,,C00019 + C21442 + C00080 => C00021 + C21295,C00019 + C21442 + C00080,C00021 + C21295,68.0,69.0,68.5,
4659,R04914,forward,KEGG,,C05652 => C05663 + C00001,C05652,C05663 + C00001,68.0,69.0,68.5,
6375,R07927,forward,KEGG,,C12137 + C00223 => C16368 + C00010,C12137 + C00223,C16368 + C00010,68.0,69.0,68.5,
6360,R07909,forward,KEGG,,C16298 => C08639,C16298,C08639,68.0,69.0,68.5,
3352,R03251,forward,KEGG,,C01249 + C00003 => C01111 + C00004 + C00080,C01249 + C00003,C01111 + C00004 + C00080,68.0,69.0,68.5,
9160,R11578_v1,forward,KEGG (Modified),FAD,C21442 + C00004 + C00007 + C00080 + Z00013 => C21477 + C00003 + C00011 + C00001 + Z00013,C21442 + C00004 + C00007 + C00080 + Z00013,C21477 + C00003 + C00011 + C00001 + Z00013,68.0,69.0,68.5,
4531,R04740_v1,forward,KEGG (Modified),NAD/NADP,C05260 + Z00032 => C05273 + C00001 + Z00032,C05260 + Z00032,C05273 + C00001 + Z00032,68.0,69.0,68.5,
5892,R07169,reverse,KEGG,,2C00005 + 2C00080 + C00757 => 2C00006 + C11818,2C00005 + 2C00080 + C00757,2C00006 + C11818,68.0,69.0,68.5,
3446,R03353,reverse,KEGG,,C03845 => C01189,C03845,C01189,68.0,69.0,68.5,
5025,R05470,forward,KEGG,,C06660 => C06661,C06660,C06661,68.0,69.0,68.5,
6334,R07877,forward,KEGG,,C12137 + C00029 => C16305 + C00015,C12137 + C00029,C16305 + C00015,68.0,69.0,68.5,
6328,R07873,forward,KEGG,,C12137 + C00323 => C16297 + C00010,C12137 + C00323,C16297 + C00010,68.0,69.0,68.5,
9813,R12371,forward,KEGG,,C22116 + C00003 => C22121 + C00004 + C00011 + C00080,C22116 + C00003,C22121 + C00004 + C00011 + C00080,68.0,69.0,68.5,
9812,R12369,forward,KEGG,,2C00999 + 2C00080 + C22114 + C00007 => 2C00996 + 2C00001 + C22115,2C00999 + 2C00080 + C22114 + C00007,2C00996 + 2C00001 + C22115,68.0,69.0,68.5,
92,R00070,forward,KEGG,,2C05791 + C00007 => 2C05795 + 2C00001,2C05791 + C00007,2C05795 + 2C00001,68.0,69.0,68.5,
3390,R03289,forward,KEGG,,C00053 + C01155 => C00054 + C03897,C00053 + C01155,C00054 + C03897,68.0,69.0,68.5,
6125,R07509_v1,forward,KEGG (Modified),Fe,6C00999 + 3C00007 + 6C00080 + C05108 + Z00015 => 6C00996 + 4C00001 + C15808 + Z00015,6C00999 + 3C00007 + 6C00080 + C05108 + Z00015,6C00996 + 4C00001 + C15808 + Z00015,68.0,69.0,68.5,
5928,R07236,forward,KEGG,,C00019 + C02483 => C00021 + C02477,C00019 + C02483,C00021 + C02477,68.0,69.0,68.5,
5932,R07241,forward,KEGG,,2C00005 + C00019 + C05315 => 2C00006 + C00021 + C15530,2C00005 + C00019 + C05315,2C00006 + C00021 + C15530,68.0,69.0,68.5,
6116,R07499_v1,forward,KEGG (Modified),FAD,C05108 + C00005 + C00080 + Z00013 => C15915 + C00006 + Z00013,C05108 + C00005 + C00080 + Z00013,C15915 + C00006 + Z00013,68.0,69.0,68.5,
6114,R07497,forward,KEGG,,C04525 => C15777,C04525,C15777,68.0,69.0,68.5,
4654,R04908_v1,forward,KEGG (Modified),"FAD, Flavoprotein",C05638 + C00001 + C00007 + Z00019 + Z00013 => C05639 + C00014 + C00027 + C00001 + Z00019 + Z00013,C05638 + C00001 + C00007 + Z00019 + Z00013,C05639 + C00014 + C00027 + C00001 + Z00019 + Z00013,68.0,69.0,68.5,
4653,R04907_v1,forward,KEGG (Modified),"FAD, Flavoprotein",C05636 + C00007 + Z00019 + Z00013 => C05637 + C00014 + C00027 + Z00019 + Z00013,C05636 + C00007 + Z00019 + Z00013,C05637 + C00014 + C00027 + Z00019 + Z00013,68.0,69.0,68.5,
6058,R07400_v1,forward,KEGG (Modified),"FAD, Flavoprotein",C00916 + C00001 + C00007 + Z00019 + Z00013 => C04712 + C00014 + C00027 + Z00019 + Z00013,C00916 + C00001 + C00007 + Z00019 + Z00013,C04712 + C00014 + C00027 + Z00019 + Z00013,68.0,69.0,68.5,
6329,R07874,forward,KEGG,,C12137 + C00029 => C08725 + C00015,C12137 + C00029,C08725 + C00015,68.0,69.0,68.5,
3200,R03063,forward,KEGG,,C00916 + C00026 => C04712 + C00217,C00916 + C00026,C04712 + C00217,68.0,69.0,68.5,
4489,R04671,forward,KEGG,,C05110 => C05111,C05110,C05111,68.0,69.0,68.5,
5758,R06954_v1,forward,KEGG (Modified),"Molybdopterin, Mo",C13453 + C00003 + Z00064 + Z00031 => C13455 + C00004 + C00080 + Z00064 + Z00031,C13453 + C00003 + Z00064 + Z00031,C13455 + C00004 + C00080 + Z00064 + Z00031,68.0,69.0,68.5,
7252,R09226,forward,KEGG,,C18311 + C00001 => C18312,C18311 + C00001,C18312,68.0,69.0,68.5,
8744,R10988,forward,KEGG,,C00029 + C19867 => C00015 + C19869,C00029 + C19867,C00015 + C19869,68.0,69.0,68.5,
4635,R04886,forward,KEGG,,C05579 + C00007 => C17937 + C00001,C05579 + C00007,C17937 + C00001,68.0,69.0,68.5,
3913,R03955,forward,KEGG,,C02470 + C00019 => C05830 + C00021,C02470 + C00019,C05830 + C00021,68.0,69.0,68.5,
