reaction,direction,source,coenzyme,equation,reactants,products,reactant_gen,product_gen,generation,reaction_id,ec_list
R00347_v3,reverse,KEGG (Modified),Mg,C00036 + C00014 + Z00029 => C03961 + Z00029,C00036 + C00014 + Z00029,C03961 + Z00029,0.0,1.0,0.5,R00347,4.3.1.20
R00347_v4,reverse,KEGG (Modified),M2,C00036 + C00014 + Z00069 => C03961 + Z00069,C00036 + C00014 + Z00069,C03961 + Z00069,0.0,1.0,0.5,R00347,4.3.1.20
R09683_v1,reverse,KEGG (Modified),Co,C00036 + C00014 + Z00006 => C19813 + Z00006,C00036 + C00014 + Z00006,C19813 + Z00006,0.0,1.0,0.5,R09683,4.3.1.27
R09683_v2,reverse,KEGG (Modified),Ni,C00036 + C00014 + Z00034 => C19813 + Z00034,C00036 + C00014 + Z00034,C19813 + Z00034,0.0,1.0,0.5,R09683,4.3.1.27
R09683_v3,reverse,KEGG (Modified),Mn,C00036 + C00014 + Z00030 => C19813 + Z00030,C00036 + C00014 + Z00030,C19813 + Z00030,0.0,1.0,0.5,R09683,4.3.1.27
R00132_v1,reverse,KEGG (Modified),Co,C00011 + C00001 + Z00006 => C01353 + Z00006,C00011 + C00001 + Z00006,C01353 + Z00006,0.0,1.0,0.5,R00132,4.2.1.1
R00348,reverse,KEGG,,C00036 + C00014 => C02362 + C00001,C00036 + C00014,C02362 + C00001,0.0,1.0,0.5,R00348,3.5.1.3
R00350_v1,reverse,KEGG (Modified),M2,C00036 + C00022 + Z00069 => C04115 + Z00069,C00036 + C00022 + Z00069,C04115 + Z00069,0.0,1.0,0.5,R00350,4.1.3.17
R00350_v2,reverse,KEGG (Modified),Mg,C00036 + C00022 + Z00029 => C04115 + Z00029,C00036 + C00022 + Z00029,C04115 + Z00029,0.0,1.0,0.5,R00350,4.1.3.17
R00350_v3,reverse,KEGG (Modified),Zn,C00036 + C00022 + Z00054 => C04115 + Z00054,C00036 + C00022 + Z00054,C04115 + Z00054,0.0,1.0,0.5,R00350,4.1.3.17
R00363,forward,KEGG,,C00036 => C03981,C00036,C03981,0.0,1.0,0.5,R00363,5.3.2.2
RZ_423,forward,KEGG,,C01528 => Z00042,C01528,Z00042,0.0,1.0,0.5,RZ,
R00339_v1,reverse,KEGG (Modified),"Fe, Generic FeS",C00036 + C00001 + Z00063 + Z00015 => C00898 + Z00063 + Z00015,C00036 + C00001 + Z00063 + Z00015,C00898 + Z00063 + Z00015,0.0,1.0,0.5,R00339,4.2.1.32
R00340_v1,reverse,KEGG (Modified),Fe,C00036 + C00001 + Z00015 => C02107 + Z00015,C00036 + C00001 + Z00015,C02107 + Z00015,0.0,1.0,0.5,R00340,4.2.1.81
R00340_v2,reverse,KEGG (Modified),Mn,C00036 + C00001 + Z00030 => C02107 + Z00030,C00036 + C00001 + Z00030,C02107 + Z00030,0.0,1.0,0.5,R00340,4.2.1.81
R11617,reverse,KEGG,,C00209 + C00014 => C01444 + C00001,C00209 + C00014,C01444 + C00001,0.0,1.0,0.5,R11617,3.5.1.126
RZ_424,forward,KEGG,,C01528 => Z00043,C01528,Z00043,0.0,1.0,0.5,RZ,
RZ_273,forward,KEGG,,C00238 => Z00026,C00238,Z00026,0.0,1.0,0.5,RZ,
R10283_v1,reverse,KEGG (Modified),Mg,C00022 + C00048 + Z00029 => C20485 + Z00029,C00022 + C00048 + Z00029,C20485 + Z00029,0.0,1.0,0.5,R10283,"4.1.3.16, 4.1.3.42"
R00321,reverse,KEGG,,C00033 + C00014 => C06244 + C00001,C00033 + C00014,C06244 + C00001,0.0,1.0,0.5,R00321,3.5.1.4
R01324_v1,reverse,KEGG (Modified),4Fe4S,C00311 + Z00002 => C00158 + Z00002,C00311 + Z00002,C00158 + Z00002,0.0,1.0,0.5,R01324,4.2.1.3
R01325_v1,reverse,KEGG (Modified),4Fe4S,C00417 + C00001 + Z00002 => C00158 + Z00002,C00417 + C00001 + Z00002,C00158 + Z00002,0.0,1.0,0.5,R01325,4.2.1.3
R01336,reverse,KEGG,,C00122 + C00160 => C03600,C00122 + C00160,C03600,0.0,1.0,0.5,R01336,4.2.99.12
R06131_v3,reverse,KEGG (Modified),Mg,C00161 + C00014 + Z00029 => C05167 + Z00029,C00161 + C00014 + Z00029,C05167 + Z00029,0.0,1.0,0.5,R06131,"4.3.1.17, 4.3.1.18, 4.3.1.19, 4.3.1.20"
R06131_v4,reverse,KEGG (Modified),M2,C00161 + C00014 + Z00069 => C05167 + Z00069,C00161 + C00014 + Z00069,C05167 + Z00069,0.0,1.0,0.5,R06131,"4.3.1.17, 4.3.1.18, 4.3.1.19, 4.3.1.20"
R00628,reverse,KEGG,,C00069 + C00033 => C01883 + C00001,C00069 + C00033,C01883 + C00001,0.0,1.0,0.5,R00628,3.1.1.6
R08698,reverse,KEGG,,C00022 + C00014 => C02218 + C00001,C00022 + C00014,C02218 + C00001,0.0,1.0,0.5,R08698,
RZ_388,forward,KEGG,,C00022 => Z00039,C00022,Z00039,0.0,1.0,0.5,RZ,
R03693,reverse,KEGG,,C01732 + C00001 => C02614,C01732 + C00001,C02614,0.0,1.0,0.5,R03693,4.2.1.34
R03694,forward,KEGG,,C01732 + C00001 => C06029,C01732 + C00001,C06029,0.0,1.0,0.5,R03694,
R01087,reverse,KEGG,,C00122 => C01384,C00122,C01384,0.0,1.0,0.5,R01087,5.2.1.1
R00218,reverse,KEGG,,C00022 + C00011 => C03248 + C00001,C00022 + C00011,C03248 + C00001,0.0,1.0,0.5,R00218,4.1.1.78
R00219,forward,KEGG,,C00022 + C00011 => C03981,C00022 + C00011,C03981,0.0,1.0,0.5,R00219,
R00224,forward,KEGG,,C00022 => C00084 + C00011,C00022,C00084 + C00011,0.0,1.0,0.5,R00224,4.1.1.1
R00269,reverse,KEGG,,C00026 + C00014 => C00940 + C00001,C00026 + C00014,C00940 + C00001,0.0,1.0,0.5,R00269,"3.5.1.111, 3.5.1.3"
R07316,reverse,KEGG,,C00014 + C00011 => C01563,C00014 + C00011,C01563,0.0,1.0,0.5,R07316,"3.5.1.110, 3.5.1.139, 4.2.1.104"
R12185,forward,KEGG,,C00014 + C00288 => C01563 + C00001,C00014 + C00288,C01563 + C00001,0.0,1.0,0.5,R12185,"2.7.2.2, 3.5.1.5"
R01854,reverse,KEGG,,C00071 + C00014 + C00030 => C00375 + C00001 + C00028,C00071 + C00014 + C00030,C00375 + C00001 + C00028,0.0,1.0,0.5,R01854,
R03597,forward,KEGG,,3C00028 + 3C00001 + C01528 => 3C00030 + 2C00080 + C05684,3C00028 + 3C00001 + C01528,3C00030 + 2C00080 + C05684,0.0,1.0,0.5,R03597,
R10079,reverse,KEGG,,2C00011 + C00014 => C01417 + C00288 + C00080,2C00011 + C00014,C01417 + C00288 + C00080,0.0,1.0,0.5,R10079,4.2.1.104
R00340_v3,reverse,KEGG (Modified),Mg,C00036 + C00001 + Z00029 => C02107 + Z00029,C00036 + C00001 + Z00029,C02107 + Z00029,0.0,1.0,0.5,R00340,4.2.1.81
R00345_v1,forward,KEGG (Modified),Mn,C00009 + C00036 + Z00030 => C00001 + C00074 + C00011 + Z00030,C00009 + C00036 + Z00030,C00001 + C00074 + C00011 + Z00030,0.0,1.0,0.5,R00345,4.1.1.31
R00345_v2,forward,KEGG (Modified),Mg,C00009 + C00036 + Z00029 => C00001 + C00074 + C00011 + Z00029,C00009 + C00036 + Z00029,C00001 + C00074 + C00011 + Z00029,0.0,1.0,0.5,R00345,4.1.1.31
R00268_v1,reverse,KEGG (Modified),Mn,C00026 + C00011 + Z00030 => C05379 + Z00030,C00026 + C00011 + Z00030,C05379 + Z00030,0.0,1.0,0.5,R00268,1.1.1.42
R00268_v2,reverse,KEGG (Modified),Mg,C00026 + C00011 + Z00029 => C05379 + Z00029,C00026 + C00011 + Z00029,C05379 + Z00029,0.0,1.0,0.5,R00268,1.1.1.42
R00268_v3,reverse,KEGG (Modified),Zn,C00026 + C00011 + Z00054 => C05379 + Z00054,C00026 + C00011 + Z00054,C05379 + Z00054,0.0,1.0,0.5,R00268,1.1.1.42
R00490,reverse,KEGG,,C00122 + C00014 => C00049,C00122 + C00014,C00049,0.0,1.0,0.5,R00490,4.3.1.1
R02243,forward,KEGG,,C00417 => C00490 + C00011,C00417,C00490 + C00011,0.0,1.0,0.5,R02243,4.1.1.6
R02244,reverse,KEGG,,C00417 => C02341,C00417,C02341,0.0,1.0,0.5,R02244,5.3.3.7
R00471_v1,reverse,KEGG (Modified),Mg,C00022 + C00048 + Z00029 => C05946 + Z00029,C00022 + C00048 + Z00029,C05946 + Z00029,0.0,1.0,0.5,R00471,4.1.3.16
R00004_v1,reverse,KEGG (Modified),Mn,2C00009 + Z00030 => C00013 + C00001 + Z00030,2C00009 + Z00030,C00013 + C00001 + Z00030,0.0,1.0,0.5,R00004,3.6.1.1
R00004_v2,reverse,KEGG (Modified),Mg,2C00009 + Z00029 => C00013 + C00001 + Z00029,2C00009 + Z00029,C00013 + C00001 + Z00029,0.0,1.0,0.5,R00004,3.6.1.1
R09683_v4,reverse,KEGG (Modified),M2,C00036 + C00014 + Z00069 => C19813 + Z00069,C00036 + C00014 + Z00069,C19813 + Z00069,0.0,1.0,0.5,R09683,4.3.1.27
R00347_v1,reverse,KEGG (Modified),Mn,C00036 + C00014 + Z00030 => C03961 + Z00030,C00036 + C00014 + Z00030,C03961 + Z00030,0.0,1.0,0.5,R00347,4.3.1.20
R00347_v2,reverse,KEGG (Modified),Ca,C00036 + C00014 + Z00055 => C03961 + Z00055,C00036 + C00014 + Z00055,C03961 + Z00055,0.0,1.0,0.5,R00347,4.3.1.20
R04177,forward,KEGG,,C03981 => C03248 + C00001,C03981,C03248 + C00001,1.0,1.0,1.0,R04177,4.1.1.78
R00346,forward,KEGG,,C00013 + C00036 => C00009 + C00074 + C00011,C00013 + C00036,C00009 + C00074 + C00011,1.0,1.0,1.0,R00346,4.1.1.38
R00346,reverse,KEGG,,C00009 + C00074 + C00011 => C00013 + C00036,C00009 + C00074 + C00011,C00013 + C00036,1.0,1.0,1.0,R00346,4.1.1.38
R00493,forward,KEGG,,C00049 + C00161 => C05167 + C00036,C00049 + C00161,C05167 + C00036,1.0,1.0,1.0,R00493,
R11749,reverse,KEGG,,C00490 + C00011 => C02341,C00490 + C00011,C02341,1.0,1.0,1.0,R11749,4.1.1.113
R00430_gGTP_v1,forward,KEGG (Modified),M2,C00022 + C00013 + Z00069 => C00074 + C00009 + Z00069,C00022 + C00013 + Z00069,C00074 + C00009 + Z00069,1.0,1.0,1.0,R00430,2.7.1.40
R00430_gGTP_v2,forward,KEGG (Modified),"K, Mg",C00022 + C00013 + Z00026 + Z00029 => C00074 + C00009 + Z00026 + Z00029,C00022 + C00013 + Z00026 + Z00029,C00074 + C00009 + Z00026 + Z00029,1.0,1.0,1.0,R00430,2.7.1.40
R00430_gGTP_v1,reverse,KEGG (Modified),M2,C00074 + C00009 + Z00069 => C00022 + C00013 + Z00069,C00074 + C00009 + Z00069,C00022 + C00013 + Z00069,1.0,1.0,1.0,R00430,2.7.1.40
R00200_gATP_v1,forward,KEGG (Modified),M2,C00022 + C00013 + Z00069 => C00074 + C00009 + Z00069,C00022 + C00013 + Z00069,C00074 + C00009 + Z00069,1.0,1.0,1.0,R00200,2.7.1.40
R00200_gATP_v1,reverse,KEGG (Modified),M2,C00074 + C00009 + Z00069 => C00022 + C00013 + Z00069,C00074 + C00009 + Z00069,C00022 + C00013 + Z00069,1.0,1.0,1.0,R00200,2.7.1.40
RZ_383,forward,KEGG,,C00074 => Z00039,C00074,Z00039,1.0,1.0,1.0,RZ,
R00200_gATP_v2,reverse,KEGG (Modified),"K, Mg",C00074 + C00009 + Z00026 + Z00029 => C00022 + C00013 + Z00026 + Z00029,C00074 + C00009 + Z00026 + Z00029,C00022 + C00013 + Z00026 + Z00029,1.0,1.0,1.0,R00200,2.7.1.40
R11749,forward,KEGG,,C02341 => C00490 + C00011,C02341,C00490 + C00011,1.0,1.0,1.0,R11749,4.1.1.113
